Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,SpeedKPH,SpeedMPH,Battery
37.42864,-122.01051,28,3.34,2021-10-25T08:26:51.910Z,gps,37.42864,-122.01051,0,5.00,0.00,0.0,gps [GPS],00:00:00,0.0,0.0,,,,false,0 / 6,0,0.0,-,-,-,-,-,-,Car,"01:26:51 GMT-07:00 (Location TZ), 08:26:51 GMT+00:00 (Phone TZ)",08:26:51.910,0.00,0.00,74
37.23384,-121.95232,29,3.41,2021-10-25T08:27:13.076Z,gps,37.00894,-121.88515,0,5.00,12.85,175.85,gps [GPS],00:00:21,22263.1,0.0,,,,false,0 / 6,21,22263.1,-,-,-,-,-,-,Car,"01:27:13 GMT-07:00 (Location TZ), 08:27:13 GMT+00:00 (Phone TZ)",08:27:13.076,46.26,28.75,74
37.13215,-121.92196,29,3.36,2021-10-25T08:27:14.077Z,gps,37.00883,-121.88514,0,5.00,12.85,175.85,gps [GPS],00:00:01,11622.1,0.0,,,,false,0 / 6,22,33885.3,-,-,-,-,-,-,Car,"01:27:14 GMT-07:00 (Location TZ), 08:27:14 GMT+00:00 (Phone TZ)",08:27:14.077,46.26,28.75,74
37.06668,-121.90243,29,3.64,2021-10-25T08:27:15.954Z,gps,37.00861,-121.88512,0,5.00,12.85,174.93,gps [GPS],00:00:01,7483.7,0.0,,,,false,0 / 6,24,41369.0,-,-,-,-,-,-,Car,"01:27:15 GMT-07:00 (Location TZ), 08:27:15 GMT+00:00 (Phone TZ)",08:27:15.954,46.26,28.75,74
37.03505,-121.89302,29,3.68,2021-10-25T08:27:17.780Z,gps,37.00841,-121.88509,0,5.00,12.85,173.92,gps [GPS],00:00:01,3615.2,0.0,,,,false,0 / 6,26,44984.2,-,-,-,-,-,-,Car,"01:27:17 GMT-07:00 (Location TZ), 08:27:17 GMT+00:00 (Phone TZ)",08:27:17.780,46.26,28.75,74
37.02155,-121.88902,29,3.55,2021-10-25T08:27:19.091Z,gps,37.00826,-121.88507,0,5.00,12.85,172.42,gps [GPS],00:00:01,1542.0,0.0,,,,false,0 / 6,27,46526.2,-,-,-,-,-,-,Car,"01:27:19 GMT-07:00 (Location TZ), 08:27:19 GMT+00:00 (Phone TZ)",08:27:19.091,46.26,28.75,74
37.01447,-121.88692,29,3.62,2021-10-25T08:27:20.765Z,gps,37.00807,-121.88503,0,5.00,12.85,168.71,gps [GPS],00:00:01,809.3,0.0,,,,false,0 / 6,29,47335.5,-,-,-,-,-,-,Car,"01:27:20 GMT-07:00 (Location TZ), 08:27:20 GMT+00:00 (Phone TZ)",08:27:20.765,46.26,28.75,74
37.01113,-121.88594,29,3.57,2021-10-25T08:27:22.185Z,gps,37.00791,-121.88499,0,5.00,12.85,168.71,gps [GPS],00:00:01,381.6,0.0,,,,false,0 / 6,30,47717.1,-,-,-,-,-,-,Car,"01:27:22 GMT-07:00 (Location TZ), 08:27:22 GMT+00:00 (Phone TZ)",08:27:22.185,46.26,28.75,74
37.00931,-121.88536,29,3.46,2021-10-25T08:27:23.326Z,gps,37.00734,-121.88473,0,5.00,64.26,153.48,gps [GPS],00:00:01,208.2,0.0,,,,false,0 / 6,31,47925.3,-,-,-,-,-,-,Car,"01:27:23 GMT-07:00 (Location TZ), 08:27:23 GMT+00:00 (Phone TZ)",08:27:23.326,231.35,143.76,74
37.00803,-121.88489,29,3.49,2021-10-25T08:27:24.623Z,gps,37.00667,-121.88440,0,5.00,64.26,162.29,gps [GPS],00:00:01,148.8,0.0,,,,false,0 / 6,33,48074.1,-,-,-,-,-,-,Car,"01:27:24 GMT-07:00 (Location TZ), 08:27:24 GMT+00:00 (Phone TZ)",08:27:24.623,231.35,143.76,74
